[run number],energia_inicial,lixo_normal,nAssassinos,energ_alimento,alimento,limiteResiduos,nComiloes,assassinos?,lixo_toxico,mostrarCargaDeposito?,nLimpadores,mostra_energia?,n_depositos,mostra_carga?,[step],count turtles
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,183,7
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,184,7
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,185,7
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,186,7
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,187,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,188,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,189,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,190,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,191,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,192,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,193,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,194,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,195,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,196,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,197,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,198,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,199,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,200,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,201,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,202,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,203,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,204,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,205,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,206,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,207,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,208,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,209,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,210,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,211,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,212,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,213,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,214,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,215,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,216,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,217,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,218,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,219,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,220,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,221,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,222,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,223,6
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,224,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,225,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,226,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,227,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,228,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,229,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,230,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,231,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,232,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,233,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,234,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,235,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,236,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,237,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,238,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,239,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,240,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,241,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,242,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,243,5
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,244,4
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,245,4
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,246,4
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,247,4
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,248,4
